symbol,short_name,change,regular_market_price,fifty_two_week_high,fifty_two_week_low,fifty_day_average,two_hundred_day_average,regular_market_open,regular_market_day_high,regular_market_day_low,regular_market_previous_close,regular_market_volume
3MINDIA.NS,3M INDIA LTD,20.851935483870964,24535.9,31000,18024.25,24480.486,24978.414,23810,24966.15,23704.85,23692.6,11355
AARTIDRUGS.NS,AARTI DRUGS LTD,35.97059253128196,657.55,1026.95,518.3,702.13055,708.2042,648.15,662,645.2,644.25,139314
ADANIGREEN.NS,ADANI GREEN ENERGY,34.172661870503596,915,1390,351,988.24164,1106.2388,890,920,885,901.5,2589300
ADANIPORTS.NS,ADANI PORT SPECIAL,21.881243063263035,703.85,901,312.1,697.1847,711.2493,701,710.4,700,699.15,4922487
ADANITRANS.NS,ADANI TRANSMISS.IN,42.00431624061522,954,1644.95,230.1,991.1055,995.07306,950,959,918,946.7,52802
AFFLE.NS,Affle (India) Limited,34.04023450239832,4146,6285.65,2060,4343.1973,4980.049,4100,4160,4060.8,4102.15,238177
AGCNET.NS,AGC NETWORKS LTD,35.43428571428571,1129.9,1750,302,1193.9569,1220.0101,1090.1,1149.85,1074.1,1130.6,934
AKASH.NS,Akash Infra-Projects Ltd,35.587188612099645,181,281,157.9,213.31667,215.0098,183.3,185.95,177.7,180.4,42606
ALCHEM.NS,ALCHEMIST LTD,68.5589519650655,3.6,11.45,3.05,3.7069445,3.7534964,3.8,3.8,3.6,3.6,5916
AMARAJABAT.NS,AMARA RAJA BATTERI,28.8186826580859,730,1025.55,693.15,730.7208,812.6608,724,733,720.7,719.3,614955
AMBER.NS,AMBER ENTERPRISES,20.17886400873839,2923.05,3662,1655,2982.4028,3026.1094,2859.7,2942.5,2858.45,2835.75,47028
APLLTD.NS,ALEMBIC PHARMACEUT,33.68558951965066,759.3,1145,744.3,907.5958,943.2902,760,766.05,753.55,762.2,268336
ARCOTECH.NS,ARCOTECH LTD,41.7910447761194,1.95,3.35,1.4,1.775,1.7933567,1.95,1.95,1.95,1.95,27292
ARSHIYA.NS,ARSHIYA LIMITED,36.95906432748538,26.95,42.75,9.55,30.922222,31.553146,26.05,27.7,26.05,26.65,20137
ASIANTILES.NS,ASIAN GRANITO INDI,45.570022229279125,171.4,314.9,138.15,179.94722,188.11119,170,173.5,169,166.1,190532
ASTRAZEN.NS,ASTREZENECA PHARMA,35.60261569416498,3200.55,4970,3005,3505.6973,3600.5435,3178,3219,3170.75,3178.95,10975
ATGL.NS,ADANI TOTAL GAS LIMITED,46.15842763549732,904,1679,155.3,942.9583,967.4168,894.55,911.55,885,900.1,95552
AUTOLITIND.NS,AUTOLITE (INDIA) LIMITED,62.70207852193996,16.15,43.3,15.3,16.566668,23.041958,17.2,17.2,16.15,16.15,14946
BANDHANBNK.NS,BANDHAN BANK LTD,31.402368237752498,295.45,430.7,251.4,312.15973,322.3986,295.2,296.7,292.4,295.2,3708010
BANKA.NS,Banka BioLoo Limited,17.29323308270677,71.5,86.45,27.9,68.15139,68.75944,73.65,73.7,70.4,70.75,6513
BCP.NS,B.C. Power Controls Ltd,54.597701149425276,3.95,8.7,2.85,3.848611,3.9800699,3.75,4.05,3.75,3.75,590935
BIOCON.NS,BIOCON LTD,23.30087134802665,374.1,487.75,363.25,393.79443,395.9042,373,375.7,371.15,372.65,873474
BIOFILCHEM.NS,BIOFIL CHEMICALS &,81.3816343723673,66.3,356.1,28.4,70.85139,74.58566,67,68.45,66.2,67,18602
BLISSGVS.NS,BLISS GVS PHARMA,48.5972850678733,113.6,221,91.65,112.486115,125.612236,113.75,116.5,113.4,113.1,563289
BLUESTARCO.NS,BLUE STAR,16.9363096457096,811.2,976.6,513.15,842.2222,845.3619,808,819.9,790.55,807.05,47133
CANDC.NS,C & C CONSTRUCTION,54.193548387096776,3.55,7.75,1.95,4.0430555,4.8646855,3.45,3.7,3.4,3.55,22693
CEATLTD.NS,CEAT LTD,25.241066364152015,1318,1763,861,1356.3167,1437.914,1298,1325,1286.5,1286.5,114599
CHOLAFIN.NS,CHOLAMANDALAM INV,14.818204509526593,511.9,600.95,210.1,511.06946,527.5472,503,516.5,498.35,501.55,1556595
CUB.NS,CITY UNION BANK,24.025000000000006,151.95,200,116.55,159.36528,165.393,152.85,153.55,151.05,152.15,775752
DCBBANK.NS,DCB BANK LIMITED,27.312252964426875,91.95,126.5,74.3,103.03611,104.325874,92.8,92.8,91.1,91.25,884693
DHANI.NS,DHANI SERVICES LIMITED,46.26846824093951,212.75,395.95,155.1,200.42223,231.71573,202.5,215.9,196.6,198.5,2537192
DHFL.NS,DEWAN HOUSING FIN,61.026837806301046,16.7,42.85,12.05,16.7,17.26993,16.7,16.7,16.7,16.7,2454074
DQE.NS,DQ ENTERTAINMENT I,39.39393939393939,1,1.65,0.85,0.9861111,1.0314685,0.95,1,0.9,0.95,103267
ENGINERSIN.NS,ENGINEERS INDIA,22.88317256162915,71.95,93.3,60.4,77.077774,77.725876,73.1,73.4,71.8,72.75,2798916
EROSMEDIA.NS,EROS INTL MEDIA,46.26865671641791,19.8,36.85,17.75,24.98611,25.742657,19,19.8,19,18.9,517673
ESCORTS.NS,ESCORTS,13.84452994654227,1265.15,1468.45,1077.4,1192.7556,1236.6692,1261.9,1274.2,1251.9,1261.9,1085576
EXIDEIND.NS,EXIDE INDUSTRIES,23.48381212950296,167.8,219.3,153.6,179.15,188.62132,169.85,170.8,167.5,169.15,3866157
GANECOS.NS,GANESHA ECOSPHERE,22.962962962962965,530.4,688.5,223,520.00555,552.74023,521.95,533.95,516.95,514,20138
GFLLIMITED.NS,GFL LIMITED,28.405824363503108,69.65,97.28445,62.451668,69.97083,73.11763,68,70,68,67.9,66022
GICRE.NS,GENERAL INSURANCE,31.83865683865684,166.45,244.2,115,185.84584,189.6556,165,167.95,164.1,164.3,384166
GLOBE.NS,Globe Textiles (I) Ltd.,0,12.25,12.25,3.066666,3.3733325,3.3733327,12.25,12.25,12.25,12.85,61149
GOENKA.NS,GOENKA DIAMOND & J,52.083333333333336,1.15,2.4,0.55,1.3041667,1.5045455,1.15,1.2,1.15,1.2,240784
GULFOILLUB.NS,GULF OIL LUBRICANT,27.197149643705462,613,842,603.25,664.76807,703.35034,621,630,611,613.4,43659
HATHWAY.NS,HATHWAY CABLE & DA,34.24124513618676,25.35,38.55,20.55,26.352777,26.777273,24.85,25.45,24.65,24.65,3456519
HDFC.NS,HOUSING DEVEL FIN,7.8470303867403315,2668.75,2896,1623,2515.2166,2542.742,2656.6,2675.25,2646.6,2658.5,1701840
HDFCAMC.NS,HDFC ASSET MANAGEM,11.560332251630001,2970.6,3358.9,2070.05,2922.6763,2926.9832,2939,2973.95,2925.05,2946.25,181401
HDFCBANK.NS,HDFC BANK,8.507007921998776,1501.4,1641,1020.2,1480.4764,1485.7616,1497,1507.6,1489.3,1494.95,4298099
HDFCLIFE.NS,HDFC LIFE INSURANC,9.52412868632707,674.95,746,555.95,680.3472,687.17413,666.5,675.9,665.4,666.65,1822233
HEMIPROP.NS,Hemisphere Prop Ind Ltd,31.36769078295342,138.5,201.8,54.4,144.70139,147.53146,135,141.85,135,134.25,800273
HEROMOTOCO.NS,HERO MOTOCORP LTD,23.31464157286343,2782.95,3629.05,2740,2862.6194,3037.781,2800,2801.25,2775,2781.6,410369
HNDFDS.NS,Hindustan Foods Limited,24.72653219550039,1940.55,2578,695.75,1975.2208,2026.8846,1900,1980,1870,1887.15,4949
HONAUT.NS,HONEYWELL AUTO IND,19.13112622524505,40426.35,49990,27850,42027.582,43090.17,40700,40800,40289.1,40140.75,1071
IDEA.NS,VODAFONE IDEA LTD,52.89855072463769,6.5,13.8,4.55,8.586111,9.539161,6.7,6.75,6.45,6.65,120300578
IDFCFIRSTB.NS,IDFC FIRST BANK,33.76623376623377,45.9,69.3,26.85,52.545834,55.825176,46.65,46.8,45.65,46.9,31885211
IFBIND.NS,IFB INDUSTRIES LTD,38.71515070862999,921.05,1502.9,385.2,1025.3125,1102.3329,954,960.35,917,945.55,42651
INDIAMART.NS,IndiaMART InterMESH Ltd,27.971356783919592,7166.85,9950,2900,7206.214,7767.333,7200,7267.95,7150,7148.9,20787
INDLMETER.NS,IMP POWERS LTD,39.99999999999999,13.05,21.75,11,14.327778,14.972727,12.9,13.3,12.5,12.7,22868
INDUSTOWER.NS,INDUS TOWERS LIMITED,24.25260923403502,214.1,282.65,162.2,229.75833,245.82448,213.2,215.5,212.15,213.1,1689467
ITC.NS,ITC LTD,12.667224080267552,208.9,239.2,163.35,206.3875,209.80978,210.25,214.2,208.35,208.65,27677870
JCHAC.NS,JOHNSON CONTROLS-H,25.710884353741502,2184.1,2940,2015.3,2257.0806,2405.4094,2178,2204.95,2178,2186,6806
JETAIRWAYS.NS,JET AIRWAYS INDIA,53.29605650382579,79.35,169.9,23.65,92.066666,96.94266,78,80.15,76,78.55,61862
JUBLPHARMA.NS,JUBILANT PHARMOVA LTD,33.968968968968966,659.65,999,509.54782,707.1472,762.68494,670,674,652,666.15,260586
KAPSTON.NS,Kapston Facilities Mgmt L,37.19071183859916,82.5,131.35,73.15,88.69861,94.58776,81.55,88,81.55,84.9,13
KARURVYSYA.NS,KARUR VYSYA BANK,30.828814872192098,44.65,64.55,29.3,49.802776,53.821327,44.25,44.9,44.05,44.05,1285516
KELLTONTEC.NS,KELLTON TECH SOLU,41.63043478260869,53.7,92,18.6,61.922222,69.43532,51.1,54.2,51.05,50.95,703197
KGL.NS,KARUTURI GLOBAL,50,0.25,0.5,0.15,0.2,0.23391609,0.15,0.25,0.15,0.2,7473514
KOLTEPATIL.NS,KOLTE-PATIL DEVELO,14.688375350140062,243.65,285.6,151.2,233.43611,235.62657,236.35,250.4,233.5,235.8,1551649
KOTAKBANK.NS,KOTAK MAHINDRA BAN,12.75256222547584,1787.7,2049,1230.6,1727.3195,1792.9077,1775.1,1791,1762,1780.6,1641639
KSERASERA.NS,KSS LTD,50,0.15,0.3,0.1,0.15,0.16048951,0.2,0.2,0.15,0.15,8023373
KTKBANK.NS,KARNATAKA BANK,20.392953929539292,58.75,73.8,39.5,61.230556,63.6,58.9,59.25,58.5,58.45,731579
L&TFH.NS,L&T FINANCE HOLDIN,24.73544973544974,85.35,113.4,51.71434,90.869446,93.846855,84.7,85.6,84.15,84.2,5001057
LUMAXIND.NS,LUMAX INDUSTRIES,17.889985421105763,1464.35,1783.4,1188,1512.8389,1548.1755,1483.3,1507.3,1460.3,1475.9,2522
M&M.NS,MAHINDRA &MAHINDRA,18.470668557323663,776.2,952.05,567.5,771.0375,804.01746,781,794.65,773.75,778.7,3550340
M&MFIN.NS,MAHINDRA &MAH FIN,30.784663397235846,155.25,224.3,112.7,155.91806,175.26819,153.6,156.2,152,154,4457049
MARINE.NS,Marine Electrical (I) Ltd,49.33847850055127,45.95,90.7,16,55.461113,59.65874,43.6,47.45,42,42.9,2871567
MASFIN.NS,MAS FINANCIAL SERV,30.656704325516493,770.3,1110.85,647.35,837.3236,853.83813,766,779.8,760.55,770.55,24579
MCL.NS,Madhav Copper Limited,64.87068965517241,40.75,116,38,63.2125,83.31468,40,40.75,39.4,38.85,49542
MODIRUBBER.NS,MODI RUBBER,68.66466095811155,67.7,216.05,25.35,72.44861,91.34825,65.8,67.95,65.25,68.1,1559
MRF.NS,MRF LTD,20.653053069499524,78236.05,98599.95,55300,80693.63,83140.375,78199,78709.95,77605,77603.1,13736
NATNLSTEEL.NS,NATIONAL STEEL & A,30.17241379310345,4.05,5.8,2.2,4.1541667,4.492657,4.3,4.3,4,4.1,37801
NEULANDLAB.NS,NEULAND LABORITIE,40.79243425678526,1684.1,2844.4,785,2035.4778,2095.4595,1620,1684.1,1602.5,1603.95,42238
NITIRAJ.NS,Nitiraj Engineers Ltd,16.911764705882355,50.85,61.2,43.2,43.2,45.515385,52,52,48.1,51.45,695
NXTDIGITAL.NS,NXTDIGITAL LIMITED,33.68515452538631,480.65,724.8,450,482.60416,490.74335,464.25,483.05,464.25,467.9,3780
OISL.NS,OCL IRON & STEEL L,54.878048780487795,1.85,4.1,1.85,1.9041667,2.3,1.85,1.9,1.85,1.85,26878
ORCHPHARMA.NS,Orchid Pharma Limited,83.33427521898841,442.35,2654.25,5.45,641.2486,1155.3668,427,444.9,417.5,423.75,9922
ORIENTLTD.NS,ORIENT PRESS LTD,38.689991863303504,75.35,122.9,62.25,81.191666,83.982864,77.7,77.7,74.4,74.55,2611
ORTEL.NS,ORTEL COMMUNICATIO,33.333333333333336,1,1.5,0.7,1.0833334,1.0867133,1,1,1,1,100
PAISALO.NS,PAISALO DIGITAL LT,30.818181818181824,608.8,880,346,639.3347,689.178,611.8,619,598.05,604.9,53552
