symbol,short_name,change,regular_market_price,fifty_two_week_high,fifty_two_week_low,fifty_day_average,two_hundred_day_average,regular_market_open,regular_market_day_high,regular_market_day_low,regular_market_previous_close,regular_market_volume
3MINDIA.NS,3M INDIA LTD,21.351612903225806,24381,31000,18024.25,24480.486,24978.414,23810,24966.15,23704.85,23692.6,4819
AARTIDRUGS.NS,AARTI DRUGS LTD,35.94624860022397,657.8,1026.95,518.3,702.13055,708.2042,648.15,662,645.2,644.25,98441
ADANIGREEN.NS,ADANI GREEN ENERGY,33.9568345323741,918,1390,351,988.24164,1106.2388,890,920,885,901.5,1319826
ADANIPORTS.NS,ADANI PORT SPECIAL,21.69811320754717,705.5,901,312.1,697.1847,711.2493,701,710.4,700,699.15,3335936
ADANITRANS.NS,ADANI TRANSMISS.IN,41.882731997933064,956,1644.95,230.1,991.1055,995.07306,950,958,918,946.7,28856
AFFLE.NS,Affle (India) Limited,34.19932703857198,4136,6285.65,2060,4343.1973,4980.049,4100,4141,4060.8,4102.15,98129
AGCNET.NS,AGC NETWORKS LTD,34.57142857142857,1145,1750,302,1193.9569,1220.0101,1090.1,1149.85,1074.1,1130.6,643
AKASH.NS,Akash Infra-Projects Ltd,36.29893238434164,179,281,157.9,213.31667,215.0098,183.3,185.95,178.95,180.4,5471
ALCHEM.NS,ALCHEMIST LTD,68.5589519650655,3.6,11.45,3.05,3.7069445,3.7534964,3.8,3.8,3.6,3.6,5916
AMARAJABAT.NS,AMARA RAJA BATTERI,28.90156501389498,729.15,1025.55,693.15,730.7208,812.6608,724,729.45,720.7,719.3,265120
AMBER.NS,AMBER ENTERPRISES,20.03003823047515,2928.5,3662,1655,2982.4028,3026.1094,2859.7,2939.85,2858.45,2835.75,33322
APLLTD.NS,ALEMBIC PHARMACEUT,33.92139737991266,756.6,1145,744.3,907.5958,943.2902,760,766.05,753.55,762.2,176253
ARCOTECH.NS,ARCOTECH LTD,41.7910447761194,1.95,3.35,1.4,1.775,1.7933567,1.95,1.95,1.95,1.95,27292
ARSHIYA.NS,ARSHIYA LIMITED,36.25730994152047,27.25,42.75,9.55,30.922222,31.553146,26.05,27.7,26.05,26.65,14531
ASIANTILES.NS,ASIAN GRANITO INDI,45.458875833597965,171.75,314.9,138.15,179.94722,188.11119,170,173.5,169,166.1,127845
ASTRAZEN.NS,ASTREZENECA PHARMA,35.482897384305836,3206.5,4970,3005,3505.6973,3600.5435,3178,3215.25,3170.75,3178.95,6506
ATGL.NS,ADANI TOTAL GAS LIMITED,47.227516378796906,886.05,1679,155.3,942.9583,967.4168,894.55,898.95,885,900.1,27861
AUTOLITIND.NS,AUTOLITE (INDIA) LIMITED,62.70207852193996,16.15,43.3,15.3,16.566668,23.041958,17.2,17.2,16.15,16.15,14946
